MicroID	SampleRef	Sex	Diet	Disease	ANA	FMC1	FMC2	FMC3	FMC4	FMC5	FMC6
108	24	m	wes	Yes	ANA+	0.067695	-0.042299	-0.072836	-0.063001	0.026899	0.008346
109	22	m	wes	Yes	ANA+	0.093054	-0.044394	-0.074263	-0.086447	0.016058	-0.027708
134	33	f	wes	Yes	ANA+	0.091464	-0.023157	-0.001576	-0.034291	-0.020946	-0.017287
135	32	f	wes	Yes	ANA-	0.085488	-0.024955	-0.005863	-0.047272	-0.01168	-0.019607
136	31	f	wes	Yes	ANA-	0.118938	-0.048183	-0.031963	-0.081432	0.002626	-0.040111
145	63	f	wes	Yes	ANA+	0.08256	-0.006225	0.013495	-0.049611	-0.043673	-0.049223
146	62	f	wes	Yes	ANA-	0.077361	-0.008868	0.031014	-0.02718	-0.032275	-0.055017
148	55	m	con	Yes	ANA-	0.06473	-0.000552	0.023921	-0.014192	-0.04175	-0.028015
149	54	m	wes	Yes	ANA+	0.088926	-0.03178	-0.066143	-0.046325	0.05136	-0.044673
150	53	m	wes	Yes	ANA-	0.027603	-0.045978	-0.026937	-0.051351	0.057542	-0.045773
151	50	f	con	No	ANA-	0.058476	-0.049277	-0.000042	-0.064967	0.157494	-0.058601
155	69	m	wes	Yes	ANA-	0.045237	-0.003376	0.010765	0.007873	-0.019679	-0.037217
156	68	m	wes	Yes	ANA-	0.006135	0.017383	0.002266	-0.023119	-0.039288	-0.030478
160	64	f	wes	Yes	ANA-	0.084431	0.005117	0.034306	-0.023136	-0.033975	-0.026749
161	11	f	wes	Yes	ANA+	0.058702	-0.028055	-0.023933	-0.056295	-0.06484	0.033075
162	10	f	wes	Yes	ANA+	0.036178	-0.016707	-0.02591	-0.031855	-0.023099	0.041844
163	9	m	wes	Yes	ANA+	0.045061	-0.064886	-0.035325	-0.07234	-0.045204	0.020342
165	4	m	con	No	ANA-	0.00113	-0.068447	-0.035114	-0.080639	0.046018	0.023394
166	3	m	con	No	ANA-	0.000659	-0.039575	0.01755	-0.059732	0.03187	0.008659
167	2	m	con	No	ANA-	0.029059	-0.051271	0.000777	-0.087783	0.044085	-0.003087
168	1	m	con	No	ANA-	0.043664	-0.054049	-0.050549	-0.11036	0.036653	-0.03153
169	17	m	cal	No	ANA-	-0.002674	-0.039036	-0.021608	-0.055944	0.096066	0.04875
170	16	m	cal	No	ANA-	0.006219	-0.046752	-0.028844	-0.07213	0.108091	0.016463
171	15	f	con	No	ANA+	0.03401	-0.035768	0.035938	0.008314	-0.026667	-0.035207
172	14	f	con	Yes	ANA+	0.073869	-0.03916	0.022232	-0.04659	-0.002754	-0.043223
173	13	f	con	Yes	ANA+	0.002873	-0.038014	0.041249	0.0308	-0.040439	-0.023497
174	12	m	con	Yes	ANA-	0.017562	-0.043138	-0.004205	-0.049394	-0.025248	0.026827
175	36	f	cal	No	ANA-	-0.03381	-0.030343	0.092242	-0.032702	0.041814	0.039045
176	35	m	cal	No	ANA-	0.004943	-0.023206	0.02576	-0.036722	0.057782	-0.015029
177	34	m	cal	No	ANA-	-0.018752	-0.008231	0.07936	-0.003458	0.029151	-0.007508
178	23	m	wes	Yes	ANA+	0.054933	-0.017903	-0.029897	-0.016809	0.039513	-0.002701
179	21	f	cal	No	ANA-	-0.025921	-0.044119	0.040281	-0.034958	0.080133	0.066685
180	20	f	cal	No	ANA-	-0.04125	-0.051275	0.056171	-0.055962	0.130342	0.066283
181	19	f	cal	No	ANA-	-0.044247	-0.042982	0.050154	0.015753	0.11778	0.085688
182	18	m	cal	No	ANA-	-0.030942	-0.044075	0.004904	-0.046314	0.120884	0.052557
183	46	m	cal	No	ANA-	-0.014177	-0.003238	0.048523	-0.006079	0.10355	-0.010498
185	44	f	cal	No	ANA-	-0.044446	-0.025549	0.056064	-0.036395	0.071283	0.072778
186	43	f	cal	No	ANA-	-0.037369	-0.029104	0.068285	-0.058776	0.046153	0.073589
187	40	f	con	Yes	ANA+	0.029308	-0.05927	0.024317	-0.047497	-0.015356	0.007712
188	39	m	con	No	ANA+	0.023261	-0.040691	0.03374	-0.052668	-0.028025	-0.028263
189	38	m	con	No	ANA-	0.028508	-0.031675	0.045262	-0.037964	-0.018926	-0.019893
190	37	f	cal	No	ANA-	-0.056831	-0.01673	0.095983	0.045376	0.035743	0.070607
191	48	f	con	No	ANA-	0.068527	-0.060393	0.009135	-0.089442	0.113373	-0.093136
192	47	m	cal	No	ANA-	-0.016594	-0.024315	0.06651	-0.046776	0.142079	-0.01855
45_f15_cDNA	45	f	cal	No	ANA-	-0.061146	-0.028311	0.085779	-0.018876	0.030107	0.073349
49_f15_cDNA	49	f	con	No	ANA-	0.082485	-0.05798	-0.028576	-0.10849	0.055605	-0.104602
57_f15_cDNA	57	m	con	No	ANA-	0.079687	-0.023643	-0.030017	-0.02487	0.009521	-0.087408
65_f15_cDNA	65	m	cal	No	ANA-	0.032431	-0.029299	0.030123	-0.02361	0.030365	-0.080035
66_f15_cDNA	66	m	cal	No	ANA-	0.028035	-0.040758	0.034487	-0.034902	0.024198	-0.089281
67_f15_cDNA	67	m	cal	No	ANA-	0.026433	-0.039491	0.03195	-0.053512	0.034859	-0.071941
70_f15_cDNA	70	m	wes	No	ANA+	0.03769	-0.03754	-0.025023	-0.048164	-0.023511	-0.045438
71_f15_cDNA	71	m	wes	No	ANA-	-0.013231	-0.034049	-0.016445	0.066686	-0.002531	-0.053383
