sampleName	Sex	Diet	ME	conc
S12_S12	m	wes	0.3144	32.4
S17_S17	m	wes	0.341	32.4
S13_S13	f	con	0.1151	29.3
S19_S19	f	wes	-0.0379	29.3
S29_S28	f	wes	-0.0207	29.3
S39_S32	f	con	0.1534	32.4
S24_S24	m	wes	0.0817	32.4
S4_S4	f	wes	0.0269	25.8
S2_S2	m	con	-0.036	25.8
S9_S9	f	con	0.0103	25.8
S14_S14	f	con	-0.0639	25.8
S5_S5	m	cal	-0.029	25.8
S6_S6	m	cal	-0.0287	25.8
S10_S10	f	cal	-0.0676	25.8
S11_S11	f	cal	-0.0703	25.8
S15_S15	f	cal	-0.0808	14
S16_S16	m	wes	0.1026	25.8
S18_S18	m	cal	0.0101	25.8
S20_S20	m	cal	0.0775	25.8
S21_S21	f	cal	-0.0257	25.8
S22_S22	m	con	8e-04	14
S23_S23	m	con	-0.0019	14
S1_S1	m	con	-0.0096	14
S25_S25	f	con	0.1677	25.8
S27_S26	m	cal	0.0562	25.8
S28_S27	f	con	0.0379	25.8
S7_S7	m	con	-0.0198	14
S35_S30	m	cal	0.0649	29.3
S36_S31	m	cal	-0.0449	25.8
S3_S3	m	wes	0.1639	14
S8_S8	f	wes	0.2352	32.4
