sampleName Sex Diet Disease ANA conc_subpool FFC6
S7_S7 m con 0 P 14 0.0249494721
S3_S3 m wes 1 P 14 0.0299781975
S4_S4 f wes 1 P 25.8 -0.0119869909
S2_S2 m con 1 A 25.8 -0.0457129658
S9_S9 f con 1 P 25.8 -0.0534661333
S13_S13 f con 1 P 29.3 -0.0411848349
S14_S14 f con 0 P 25.8 -0.0649895229
S5_S5 m cal 0 A 25.8 -0.0493785753
S6_S6 m cal 0 A 25.8 -0.0440029907
S10_S10 f cal 0 A 25.8 -0.057605996
S11_S11 f cal 0 A 25.8 -0.0633342075
S15_S15 f cal 0 P 14 -0.0691558545
S12_S12 m wes 1 P 32.4 0.0291390448
S16_S16 m wes 0 P 25.8 -0.0114893706
S17_S17 m wes 1 P 32.4 -0.0081021861
S19_S19 f wes 1 A 29.3 -0.0378855045
S18_S18 m cal 0 A 25.8 -0.0697267824
S20_S20 m cal 0 A 25.8 -0.0475998915
S21_S21 f cal 0 A 25.8 -0.0466412749
S25_S25 f con 1 P 25.8 0.0769036879
S27_S26 m cal 0 A 25.8 -0.0017571129
S28_S27 f con 0 A 25.8 -0.0412179584
S39_S32 f con 1 A 32.4 0.0196288779
S24_S24 m wes 1 P 32.4 0.0363483294
S29_S28 f wes 1 A 29.3 -0.0322997379
S35_S30 m cal 0 A 25.8 -0.0084606225
S36_S31 m cal 0 A 25.8 -0.0397473348
