PHEN	CHR	SNP	Pos	CI	LOD	Type	VarSex	VarDiet	VarGeno	VarGenoxDiet	VarGenoxSex
Weight	5	UNC8771430	21.614	21.449-21.93	8.16	G	6.845	41.61	0.481	1.706	0.07
MCV	4	UNC8155357	125.684	125.478-130.26	7.933	G	0.008	0.352	0.426	10.815	0.398
Steatosis	4	UNC8372857	141.414	140.99-142.857	7.928	G	0.464	29.381	1.613	4.211	0.109
Weight	4	UNC040059085	47.699	47.38-48.043	7.74	G	6.845	41.61	0.518	2.185	0.017
Weight	5	UNC10031638	120.24	119.23-123.1	7.39	G	6.845	41.61	0.589	1.481	0.845
wt4month	5	UNC10031771	120.25	117.78-120.28	7.32	G	7.191	44.209	0.355	1.864	0.584
wt4month	5	UNC10420974	148.74	148.4-148.9	6.87	G	7.191	44.209	0.289	1.074	0.064
Weight	10	JAX00019795	77.016	76.814-77.147	6.79	G	6.845	41.61	0.519	1.478	0.093
NAFLD	4	JAX00568977	141.321	140.882-141.773	6.295	G	1.85	41.16	0.934	2.714	0.194
wt2Month	5	UNC10031771	120.249	119.548-123.052	6.046	G	8.492	33.662	0.289	1.917	0.309
HCT	4	UNC8200611	128.858	125.293-129.271	5.955	G	0.544	0.303	0.043	7.514	2.736
Weight	11	JAX00310397	49.115	47.331-49.275	5.91	G	6.845	41.61	0.11	1.057	0.191
Ballooning	9	UNC16227490	41.2	41.092-41.268	5.87	G	3.96	43.977	0.508	2.025	0.126
MCHC	13	UNC22310805	26.913	25.499-27.136	5.846	G	0.134	1.241	0.127	6.829	1.065
LYperc	9	UNC17122873	111.247	110.339-111.515	5.829	G	0.062	3.921	0.194	5.477	1.167
MCV	13	JAX00353101	26.38	26.08-27.136	5.812	G	0.008	0.352	0.37	6.96	1.228
MCHC	4	UNC8214230	129.803	124.7-129.902	5.752	S	0.134	1.241	0.423	6.8	0.94
wt2Month	8	JAX00166860	119.368	119.058-120.091	5.719	G	8.492	33.662	0.283	1.667	0.018
wt4month	4	UNC7173132	46.195	45.9-47.62	5.71	G	7.191	44.209	1.012	1.941	0.052
IgM	12	UNC21147246	54.936	54.38-55.456	5.675	G	1.22	25.63	0.578	3.867	0.494
Weight	5	UNC10416935	148.5	148.3-148.6	5.64	G	6.845	41.61	0.225	0.814	0.102
wt2Month	9	UNC16800815	86.163	86.06-86.258	5.621	G	8.492	33.662	1.651	2.353	0.462
wt4month	5	UNC8771430	21.614	21.31-22.7	5.61	G	7.191	44.209	0.865	1.395	0.031
Weight	3	UNC6560662	152.937	138.123-153.042	5.483	S	6.845	41.61	0.174	0.918	0.081
MCHC	9	UNC16472755	61.319	61.218-65.616	5.477	S	0.134	1.241	0.235	5.542	3.746
wt2Month	6	UNC11105445	53.919	53.702-54.592	5.406	G	8.492	33.662	0.406	1.964	0.872
wt6month	11	JAX00310397	49.115	46.984-62.77	5.362	S	5.395	45.448	0.198	1.233	0.402
NASH	4	UNC8383363	142.319	141.496-142.623	5.347	S	0.129	11.543	1.003	3.602	0.441
NASH	8	UNC14241423	16.558	4.471-16.819	5.341	S	0.129	11.543	0.523	3.666	0.291
LY	9	UNC17198230	116.023	115.949-116.536	5.309	S	1.821	1.366	0.755	4.865	0.188
MCHC	5	UNC9430721	71.287	70.855-72.225	5.287	S	0.134	1.241	0.169	5.311	1.449
NEperc	9	JAX00172160	64.406	63.97-64.612	5.228	S	0.442	3.604	0.389	5.69	2.67
wt2Month	16	JAX00066095	6.424	5.786-12.435	5.21	S	8.492	33.662	0.207	1.751	0.083
RBC	8	JAX00673383	78.503	78.11-78.733	5.201	S	1.254	0.006	0.659	5.243	0.707
CRP.Conc	1	UNC792649	62.853	62.553-63.316	5.179	S	0.771	9.84	0.34	4.717	0.926
IgM	4	UNC8307892	137.026	25.859-141.067	5.144	S	1.22	25.63	0.845	2.975	0.461
MO	6	UNC11767408	104.977	102.11-108	5.116	S	2.248	0.228	0.14	5.358	0.035
MO	3	UNC4813610	19.51	16.787-19.746	5.109	S	2.248	0.228	0.584	6.287	0.227
Steatosis	14	UNC24311811	78.492	78.278-83.157	5.056	S	0.464	29.381	1.348	2.95	0.132
NASH	9	UNC15866727	13.662	13.136-14.2	5.025	S	0.129	11.543	0.401	4.16	0.693
wt2Month	10	JAX00286856	32.834	28.316-72.233	5.005	S	8.492	33.662	0.067	0.954	0.111
EO	8	UNC15746498	128.387	128.094-129.057	5.001	S	2.071	3.962	0.809	4.481	0.226
HCT	12	UNC21982408	116.818	57.91-117.089	4.991	S	0.544	0.303	0.744	4.722	1.093
NASH	7	UNC12450656	16.399	13.022-16.673	4.977	S	0.129	11.543	0.866	3.194	0.579
Cholesterol	9	UNC16045028	27.44	22.31-28.159	4.906	S	0.744	14.696	0.432	2.31	0.349
wt2Month	4	UNC7190877	47.382	47.252-142.674	4.904	S	8.492	33.662	0.225	1.433	0.033
wt4month	6	UNC10471744	4.027	4.019-144.986	4.904	S	7.191	44.209	0.187	1.421	0.222
MCV	6	UNC061064189	56.908	56.635-60.378	4.895	S	0.008	0.352	0.05	5.358	2.409
wt2Month	2	UNC3244659	67.279	65.948-67.877	4.894	S	8.492	33.662	0.266	1.237	0.214
Weight	2	UNC3946576	128.784	128.373-128.98	4.886	S	6.845	41.61	0.311	0.794	0.198
IgA	7	JAX00150300	37.942	37.459-38.195	4.866	S	0.553	18.296	0.051	2.92	1.329
G1S1	1	UNC1086363	86.756	75.717-87.376	4.863	S	0.618	6.542	0.137	3.067	0.487
LYperc	3	UNC6271423	132.468	131.032-132.721	4.856	S	0.062	3.921	1.042	4.352	0.609
wt2Month	18	UNC29073652	38.543	11.948-38.92	4.828	S	8.492	33.662	0.535	1.14	0.017
MCV	3	UNC5387438	62.601	60.802-143.353	4.825	S	0.008	0.352	0.177	5.558	0.493
MOperc	1	UNC2064059	161.322	161.059-163.968	4.815	S	0.769	0.007	1.112	5.761	1.373
MPV	12	UNC20558531	5.002	3.602-72.964	4.801	S	0.67	1.32	0.121	5.081	0.996
wt6month	8	CEAJAX00159276	17.038	16.764-19.251	4.798	S	5.395	45.448	0.442	1.402	0.116
Steatosis	8	UNC14231285	16.015	15.403-17.02	4.781	S	0.464	29.381	0.895	2.476	0.183
wt2Month	X	JAX00713919	75.132	71.191-82.219	4.766	S	8.492	33.662	0.169	2.045	0.013
Gal	18	JAX00080014	6.685	5.385-11.409	4.707	S	1.513	6.522	0.161	3.127	0.179
PLT	9	UNC16113994	32.624	32.03-33.536	4.703	S	1.999	1.545	0.884	4.749	0.619
wt6month	6	UNC12298596	144.486	144.389-144.986	4.701	S	5.395	45.448	0.453	1.078	0.016
Weight	6	UNC11518626	85.002	4.019-145.282	4.697	S	6.845	41.61	0.247	0.565	0.079
LDL	9	UNC16049941	27.861	27.575-28.159	4.694	S	0.279	10.065	0.242	2.484	0.235
NASH	17	UNC27730871	28.061	28.006-29.77	4.667	S	0.129	11.543	1.192	2.917	1.147
MCV	7	JAX00152952	74.704	74.372-75.04	4.664	S	0.008	0.352	0.288	4.929	1.665
wt4month	11	UNC19214924	20.338	19.536-63.082	4.649	S	7.191	44.209	0.134	1.31	0.591
wt4month	18	UNC29073652	38.543	25.308-38.693	4.644	S	7.191	44.209	0.357	0.933	0.237
Weight	8	CEAJAX00159276	17.038	16.764-19.251	4.64	S	6.845	41.61	0.317	1.113	0.013
Weight	14	UNC24296885	77.475	76.413-78.043	4.631	S	6.845	41.61	0.274	1.512	0.093
AGM	12	UNC21144555	54.681	54.3-56.006	4.624	S	0.768	0.191	0.225	4.552	1.379
MCHC	6	JAX00146372	124.953	122.99-124.97	4.616	S	0.134	1.241	1.03	4.077	0.133
Steatosis	19	UNC30291628	38.555	38.394-38.697	4.589	S	0.464	29.381	1.271	2.722	0.186
MPV	11	UNC19282332	26.11	25.543-26.995	4.583	S	0.67	1.32	0.124	4.424	0.135
wt2Month	1	UNC865358	68.59	68.144-69.613	4.557	S	8.492	33.662	0.485	1.176	0.128
EOperc	4	backupUNC040653449	114.54	109.216-114.769	4.507	S	1.392	5.12	0.507	4.206	0.564
wt2Month	15	UNC26247720	103.636	93.879-103.636	4.487	S	8.492	33.662	0.569	1.27	0.151
NAFLD	9	UNC090746633	33.435	32.462-33.479	4.476	S	1.85	41.16	0.07	1.873	0.263
LYperc	1	UNC2153593	168.407	134.457-168.523	4.474	S	0.062	3.921	0.14	4.252	1.158
wt6month	12	backupJAX00333590	52.17	51.893-52.769	4.451	S	5.395	45.448	1.101	1.256	0.139
HCT	9	JAX00695637	60.239	60.107-60.935	4.449	S	0.544	0.303	0.394	4.35	0.843
NEperc	7	UNC12478200	19.073	18.323-19.946	4.436	S	0.442	3.604	0.481	4.007	1.426
MCV	11	UNC19901576	72.479	43.134-72.865	4.425	S	0.008	0.352	0.046	5.151	0.398
